example_id,budget,method,runtime_method,prediction,is_correct,actions,expansions,absent_from_tree,present_not_selected,early_prefix,early_unique_answer_groups,early_repeated_family_expansions,early_repeated_family_expansion_rate,early_maturation_actions
mock_15,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,15,1,8,8,0,0,3,2,2,1.0,0
mock_16,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,31,0,8,8,0,0,3,2,2,1.0,0
mock_17,8,strict_f3_anti_collapse_weak_v1,strict_f3_anti_collapse_weak_v1,22,1,8,7,0,0,3,2,2,1.0,0
mock_0,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,88,0,2,2,0,0,3,1,0,0.0,2
mock_1,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,83,0,2,2,0,0,3,1,0,0.0,2
mock_2,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,103,1,2,2,0,0,3,1,0,0.0,2
mock_3,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,44,1,8,7,0,0,3,1,2,1.0,3
mock_4,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,19,1,8,6,0,0,3,1,1,0.5,3
mock_5,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,28,0,2,2,0,0,3,1,0,0.0,2
mock_6,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,17,1,2,2,0,0,3,1,0,0.0,2
mock_7,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,23,1,8,8,0,0,3,1,1,0.5,3
mock_8,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,55,0,8,6,0,0,3,1,1,0.5,3
mock_9,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,78,1,8,4,0,0,3,1,1,0.5,3
mock_10,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,44,0,2,2,0,0,3,1,0,0.0,2
mock_11,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,74,1,8,8,0,0,3,1,2,1.0,3
mock_12,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,75,1,8,6,0,0,3,1,1,0.5,3
mock_13,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,29,1,8,4,0,0,3,1,2,1.0,3
mock_14,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,60,1,6,6,0,0,3,1,1,0.5,3
mock_15,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,12,0,2,2,0,0,3,1,0,0.0,2
mock_16,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,32,1,4,4,0,0,3,1,1,0.5,3
mock_17,8,early_answer_diversity_maturation_v1,early_answer_diversity_maturation_v1,22,1,8,8,0,0,3,1,2,1.0,3
mock_0,8,external_l1_max,external_l1_max,87,0,2,2,0,0,3,0,0,1.0,0
mock_1,8,external_l1_max,external_l1_max,87,0,2,2,0,0,3,0,0,1.0,0
mock_2,8,external_l1_max,external_l1_max,100,0,2,2,0,0,3,0,0,1.0,0
mock_3,8,external_l1_max,external_l1_max,43,0,2,2,0,0,3,0,0,1.0,0
mock_4,8,external_l1_max,external_l1_max,22,0,2,2,0,0,3,0,0,1.0,0
mock_5,8,external_l1_max,external_l1_max,29,1,1,1,0,0,3,0,0,0.0,0
mock_6,8,external_l1_max,external_l1_max,20,0,1,1,0,0,3,0,0,0.0,0
mock_7,8,external_l1_max,external_l1_max,22,0,2,2,0,0,3,0,0,1.0,0
mock_8,8,external_l1_max,external_l1_max,50,0,2,2,0,0,3,0,0,1.0,0
mock_9,8,external_l1_max,external_l1_max,78,1,3,3,0,0,3,0,0,1.0,0
mock_10,8,external_l1_max,external_l1_max,40,0,1,1,0,0,3,0,0,0.0,0
mock_11,8,external_l1_max,external_l1_max,74,1,1,1,0,0,3,0,0,0.0,0
mock_12,8,external_l1_max,external_l1_max,78,0,1,1,0,0,3,0,0,0.0,0
mock_13,8,external_l1_max,external_l1_max,29,1,1,1,0,0,3,0,0,0.0,0
mock_14,8,external_l1_max,external_l1_max,60,1,1,1,0,0,3,0,0,0.0,0
mock_15,8,external_l1_max,external_l1_max,17,0,1,1,0,0,3,0,0,0.0,0
mock_16,8,external_l1_max,external_l1_max,32,1,2,2,0,0,3,0,0,1.0,0
mock_17,8,external_l1_max,external_l1_max,22,1,4,4,0,0,3,0,0,1.0,0
